player_name,position,height,weight,age
Aleksandar Mitrovic,Forward,189,90,28
Alexis Mac Allister,Midfielder,176,72,23
Allan Saint-Maximin,Forward,173,67,25
Anthony Martial,Forward,181,76,26
Antony,Forward,174,63,22
Armel Bella-Kotchap,Defender,190,87,20
Ashley Young,Defender,175,65,37
Asmir Begovic,Goalkeeper,199,101,35
Christian Nørgaard,Midfielder,187,76,28
Declan Rice,Midfielder,185,76,23
Emiliano Martínez,Goalkeeper,195,88,30
Erling Haaland,Forward,194,88,22
Gabriel Jesus,Forward,175,73,25
Gabriel Martinelli,Forward,178,75,21
Harry Kane,Forward,188,86,29
Ivan Toney,Forward,179,70,26
Jack Harrison,Midfielder,175,70,25
James Maddison,Midfielder,175,73,25
James Ward-Prowse,Midfielder,173,66,27
Joachim Andersen,Defender,192,90,26
Joelinton,Forward,186,81,26
Jordan Pickford,Goalkeeper,185,77,28
José Sá,Goalkeeper,192,84,29
João Palhinha,Midfielder,190,85,27
Kevin De Bruyne,Midfielder,181,68,31
Leandro Trossard,Forward,171,61,27
Lloyd Kelly,Defender,178,70,24
Luis Díaz,Forward,178,65,25
Moussa Niakhaté,Defender,190,82,26
Neco Williams,Defender,183,72,21
Neto,Goalkeeper,190,84,33
Pascal Struijk,Defender,190,0,23
Pierre-Emile Højbjerg,Midfielder,187,84,27
Reece James,Defender,182,82,22
Roberto Firmino,Forward,181,76,31
Rúben Neves,Midfielder,180,80,25
Thiago Silva,Defender,183,79,38
Tomás Soucek,Midfielder,192,86,27
Wilfried Zaha,Forward,180,66,29
Youri Tielemans,Midfielder,176,72,25
